#Release 14.5 - par P.58f (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Wed Sep 12 20:48:15 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       multiplicador_map.ncd
#OUTPUT FILE:      multiplicador_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,,DIFFM,IO_L24P_0,UNUSED,,0,,,,,,,,,
A5,,DIFFMI,IP_L22P_0,UNUSED,,0,,,,,,,,,
A6,,DIFFS,IO_L20N_0,UNUSED,,0,,,,,,,,,
A7,,IOB,IO,UNUSED,,0,,,,,,,,,
A8,,IOB,IO,UNUSED,,0,,,,,,,,,
A9,,,VCCO_0,,,0,,,,,2.50,,,,
A10,,DIFFS,IO_L12N_0/GCLK7,UNUSED,,0,,,,,,,,,
A11,,IOB,IO,UNUSED,,0,,,,,,,,,
A12,,IOB,IO,UNUSED,,0,,,,,,,,,
A13,,DIFFM,IO_L05P_0,UNUSED,,0,,,,,,,,,
A14,,DIFFS,IO_L04N_0,UNUSED,,0,,,,,,,,,
A15,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,
A16,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,DIFFS,IO_L25N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,,DIFFS,IO_L24N_0,UNUSED,,0,,,,,,,,,
B5,,DIFFSI,IP_L22N_0,UNUSED,,0,,,,,,,,,
B6,,DIFFM,IO_L20P_0,UNUSED,,0,,,,,,,,,
B7,,,VCCAUX,,,,,,,,2.5,,,,
B8,,DIFFMI,IP_L13P_0/GCLK8,UNUSED,,0,,,,,,,,,
B9,,DIFFSI,IP_L13N_0/GCLK9,UNUSED,,0,,,,,,,,,
B10,,DIFFM,IO_L12P_0/GCLK6,UNUSED,,0,,,,,,,,,
B11,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,,DIFFS,IO_L05N_0/VREF_0,UNUSED,,0,,,,,,,,,
B14,,DIFFM,IO_L04P_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
B16,B<16>,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B17,,,GND,,,,,,,,,,,,
B18,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
C2,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
C3,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
C4,,IOB,IO,UNUSED,,0,,,,,,,,,
